page_id_from    page_title_from page_id_to      page_title_to
12	Anarchism	153803	Murray Bookchin
12	Anarchism	20217	Murray Rothbard
12	Anarchism	26067871	Mutual aid (organization)
12	Anarchism	1799997	Mutualism (economic theory)
12	Anarchism	7510769	Mutually exclusive
12	Anarchism	90726	My Disillusionment in Russia
12	Anarchism	26875270	Napoleon III of France
12	Anarchism	21748	Nationalism
12	Anarchism	21911	Naturism
12	Anarchism	514725	Nazi concentration camps
12	Anarchism	21736	Nazi Party
12	Anarchism	34261083	NEFAC
12	Anarchism	454151	Negative liberty
12	Anarchism	113559	Neo-liberalism
12	Anarchism	34149662	Neopaganism
12	Anarchism	306428	Nestor Makhno
12	Anarchism	507848	New Left Review
12	Anarchism	333245	New Right
12	Anarchism	21593	New York Times
12	Anarchism	55503445	Nihilist movement
12	Anarchism	21566	Noam Chomsky
12	Anarchism	178755	Nonviolence
12	Anarchism	46114	Non-violence
12	Anarchism	14894605	Now and After
12	Anarchism	4509934	Nudism
12	Anarchism	22661	October Revolution
12	Anarchism	9193210	Online etymology dictionary
12	Anarchism	15932957	Oranienburg concentration camp
12	Anarchism	164114	Oranienburg
12	Anarchism	317240	Organized religion
12	Anarchism	22614	Oscar Wilde
12	Anarchism	48518	Oxford University Press
12	Anarchism	22677	Oxymoron
12	Anarchism	59134	Paris Commune
12	Anarchism	1324	Park GÃ¼ell
12	Anarchism	24231	Parma
12	Anarchism	76393	Participatory economics
12	Anarchism	23266996	Patriarchy
12	Anarchism	1072099	Paul Avrich
12	Anarchism	23658801	Pejorative
12	Anarchism	1784110	Penal colonies
12	Anarchism	24695	Personal property
12	Anarchism	51074	Peter Kropotkin
12	Anarchism	20585895	Peter Marshall (author)
12	Anarchism	6314558	Philadelphes
12	Anarchism	8817545	Philosophical anarchism
12	Anarchism	13692155	Philosophy
12	Anarchism	40949287	Pierre-Joseph Proudhon
12	Anarchism	13300614	Pierre Monatte
12	Anarchism	611543	Pissarro
12	Anarchism	43620318	Platformism
12	Anarchism	5971926	Platformist
12	Anarchism	22954	Plato
12	Anarchism	3958364	Pluto Press
12	Anarchism	49636140	Political Justice
12	Anarchism	23040	Political philosophy
12	Anarchism	1297768	Political repression
12	Anarchism	11328678	Political theology
12	Anarchism	24591	Polyamory
12	Anarchism	3859066	Popular education
12	Anarchism	338327	Positive liberty
12	Anarchism	40678629	Post-anarchism
12	Anarchism	18247316	Postcolonialism
12	Anarchism	9839021	Post-humanism
12	Anarchism	40678579	Post-left anarchy
12	Anarchism	220874	Post-modernism
12	Anarchism	206704	Poststructuralist
12	Anarchism	294781	POUM
12	Anarchism	147767	Private property
12	Anarchism	3614580	Privative alpha
12	Anarchism	8878439	Privative
12	Anarchism	10005	Progressive education
12	Anarchism	416532	Propaganda by the deed
12	Anarchism	400776	Propaganda of the deed
12	Anarchism	211848	Property is theft
12	Anarchism	219061	Property rights
12	Anarchism	154326	Protestant Christianity
12	Anarchism	4143400	Protests of 1968
12	Anarchism	38556631	Public choice theory
12	Anarchism	23037	Punk rock
12	Anarchism	26729461	Queer anarchism
12	Anarchism	366269	Rationalist
12	Anarchism	1046243	Reciprocity (cultural anthropology)
12	Anarchism	25973	Red Army Faction
12	Anarchism	43473086	Reformism
12	Anarchism	157050	Regicide
